newick	colless	sackin	cophenetic	qi	cherries	automorphisms
((*,*),(*,((*,*),((*,*),(*,((*,*),(*,*)))))));	27	57	123	231	5	64
((*,*),(*,((*,*),((*,*),((*,*),(*,(*,*)))))));	26	56	120	237	5	32
((*,*),(*,((*,*),((*,(*,*)),(*,(*,(*,*)))))));	26	56	118	252	4	16
((*,*),(*,((*,*),((*,(*,*)),((*,*),(*,*))))));	23	55	116	255	5	64
((*,*),(*,((*,(*,*)),(*,(*,(*,(*,(*,*))))))));	30	58	121	270	3	8
((*,*),(*,((*,(*,*)),(*,(*,((*,*),(*,*)))))));	27	57	119	273	4	32
((*,*),(*,((*,(*,*)),(*,((*,*),(*,(*,*)))))));	26	56	116	279	4	16
((*,*),(*,((*,(*,*)),((*,*),(*,(*,(*,*)))))));	25	55	112	288	4	16
((*,*),(*,((*,(*,*)),((*,*),((*,*),(*,*))))));	22	54	110	291	5	64
((*,*),(*,((*,(*,*)),((*,(*,*)),(*,(*,*))))));	22	54	109	297	4	32
((*,*),(*,((*,(*,(*,*))),(*,(*,(*,(*,*)))))));	26	56	112	315	3	8
((*,*),(*,((*,(*,(*,*))),(*,((*,*),(*,*))))));	23	55	110	318	4	32
((*,*),(*,((*,(*,(*,*))),((*,*),(*,(*,*))))));	22	54	107	324	4	16
((*,*),(*,((*,(*,(*,(*,*)))),((*,*),(*,*)))));	23	55	110	318	4	32
((*,*),(*,((*,((*,*),(*,*))),((*,*),(*,*)))));	20	54	108	321	5	128
((*,*),(*,(((*,*),(*,*)),((*,*),(*,(*,*))))));	19	53	105	327	5	64
((*,*),((*,*),(*,(*,(*,(*,(*,(*,(*,*)))))))));	35	61	131	219	3	8
((*,*),((*,*),(*,(*,(*,(*,((*,*),(*,*))))))));	32	60	129	222	4	32
((*,*),((*,*),(*,(*,(*,((*,*),(*,(*,*))))))));	31	59	126	228	4	16
((*,*),((*,*),(*,(*,((*,*),(*,(*,(*,*))))))));	30	58	122	237	4	16
((*,*),((*,*),(*,(*,((*,*),((*,*),(*,*)))))));	27	57	120	240	5	64
((*,*),((*,*),(*,(*,((*,(*,*)),(*,(*,*)))))));	27	57	119	246	4	32
((*,*),((*,*),(*,((*,*),(*,(*,(*,(*,*))))))));	29	57	117	249	4	16
((*,*),((*,*),(*,((*,*),(*,((*,*),(*,*)))))));	26	56	115	252	5	64
((*,*),((*,*),(*,((*,*),((*,*),(*,(*,*)))))));	25	55	112	258	5	32
((*,*),((*,*),(*,((*,(*,*)),(*,(*,(*,*)))))));	25	55	110	273	4	16
((*,*),((*,*),(*,((*,(*,*)),((*,*),(*,*))))));	22	54	108	276	5	64
((*,*),((*,*),((*,*),(*,(*,(*,(*,(*,*))))))));	28	56	111	264	4	16
((*,*),((*,*),((*,*),(*,(*,((*,*),(*,*)))))));	25	55	109	267	5	64
((*,*),((*,*),((*,*),(*,((*,*),(*,(*,*)))))));	24	54	106	273	5	32
((*,*),((*,*),((*,*),((*,*),(*,(*,(*,*)))))));	23	53	102	282	5	32
((*,*),((*,*),((*,*),((*,*),((*,*),(*,*))))));	20	52	100	285	6	128
((*,*),((*,*),((*,*),((*,(*,*)),(*,(*,*))))));	20	52	99	291	5	64
((*,*),((*,*),((*,(*,*)),(*,(*,(*,(*,*)))))));	23	53	99	309	4	16
((*,*),((*,*),((*,(*,*)),(*,((*,*),(*,*))))));	20	52	97	312	5	64
((*,*),((*,*),((*,(*,*)),((*,*),(*,(*,*))))));	19	51	94	318	5	32
((*,*),((*,*),((*,(*,(*,*))),(*,(*,(*,*))))));	20	52	95	327	4	32
((*,*),((*,*),((*,(*,(*,*))),((*,*),(*,*)))));	17	51	93	330	5	64
((*,*),((*,*),(((*,*),(*,*)),((*,*),(*,*)))));	14	50	91	333	6	512
((*,*),((*,(*,*)),(*,(*,(*,(*,(*,(*,*))))))));	28	56	106	324	3	8
((*,*),((*,(*,*)),(*,(*,(*,((*,*),(*,*)))))));	25	55	104	327	4	32
((*,*),((*,(*,*)),(*,(*,((*,*),(*,(*,*)))))));	24	54	101	333	4	16
((*,*),((*,(*,*)),(*,((*,*),(*,(*,(*,*)))))));	23	53	97	342	4	16
